Timestamp,Load_Weight (kg),Motor_Temperature (°C),Vibration_Level (mm/s),Operating_Hours,Error_Code
2024-02-01 00:00:00,1523.52,87.31,3.64,4695.5,0
2024-02-01 00:05:00,4183.36,60.6,1.85,3855.5,0
2024-02-01 00:10:00,1563.33,51.77,2.84,3247.4,0
2024-02-01 00:15:00,4392.6,40.21,3.54,4506.4,0
2024-02-01 00:20:00,4427.35,30.27,3.38,4085.4,0
2024-02-01 00:25:00,4115.34,59.18,2.6,3484.4,0
2024-02-01 00:30:00,2118.05,54.32,3.12,3316.0,0
2024-02-01 00:35:00,2261.44,57.81,2.61,2930.5,0
2024-02-01 00:40:00,4240.84,82.38,0.4,2923.1,0
2024-02-01 00:45:00,2390.61,73.76,0.23,706.0,0
2024-02-01 00:50:00,3599.5,37.59,3.53,1353.2,0
2024-02-01 00:55:00,4376.96,40.5,2.54,4384.3,0
2024-02-01 01:00:00,4882.49,60.46,4.6,3935.7,1
2024-02-01 01:05:00,3371.89,30.39,3.76,3304.2,0
2024-02-01 01:10:00,971.95,34.84,0.9,525.9,0
2024-02-01 01:15:00,869.09,37.23,0.66,4734.2,0
2024-02-01 01:20:00,4347.61,67.95,2.61,784.7,0
2024-02-01 01:25:00,4649.24,30.24,3.98,4461.5,0
2024-02-01 01:30:00,3070.07,36.41,4.9,2643.8,0
2024-02-01 01:35:00,4034.81,67.12,0.21,1856.5,0
2024-02-01 01:40:00,4404.93,32.91,1.66,2889.2,0
2024-02-01 01:45:00,806.02,78.28,0.84,968.6,0
2024-02-01 01:50:00,2492.19,69.2,0.29,4993.0,0
2024-02-01 01:55:00,3576.88,69.48,2.77,3132.8,0
2024-02-01 02:00:00,3785.11,73.28,4.28,281.5,0
2024-02-01 02:05:00,1577.69,66.19,4.58,2398.2,1
2024-02-01 02:10:00,4494.49,44.63,0.72,2098.3,0
2024-02-01 02:15:00,4545.28,68.95,3.9,469.4,0
2024-02-01 02:20:00,1563.3,51.16,2.01,3795.7,0
2024-02-01 02:25:00,4336.24,50.94,0.46,3200.7,0
2024-02-01 02:30:00,2966.53,50.36,2.76,1621.3,0
2024-02-01 02:35:00,4452.32,80.58,3.66,2912.6,0
2024-02-01 02:40:00,4706.5,78.98,3.37,4277.1,0
2024-02-01 02:45:00,2465.77,74.37,4.03,1533.3,0
2024-02-01 02:50:00,4631.74,48.56,0.76,1492.0,0
2024-02-01 02:55:00,1874.59,64.29,2.13,2273.5,0
2024-02-01 03:00:00,3098.63,80.38,4.44,2134.3,0
2024-02-01 03:05:00,2266.05,53.86,2.02,4611.6,0
2024-02-01 03:10:00,660.19,76.1,0.39,2478.6,0
2024-02-01 03:15:00,1999.93,54.88,0.32,1310.2,0
2024-02-01 03:20:00,4734.68,33.51,4.09,3646.6,0
2024-02-01 03:25:00,1444.21,56.89,2.64,1809.6,0
2024-02-01 03:30:00,745.25,49.8,4.15,3651.6,0
2024-02-01 03:35:00,4722.97,53.9,3.31,276.8,0
2024-02-01 03:40:00,2851.91,33.91,3.28,2875.2,0
2024-02-01 03:45:00,2928.99,83.41,2.59,1803.1,0
2024-02-01 03:50:00,1886.31,58.56,4.58,3787.0,0
2024-02-01 03:55:00,3492.52,58.43,4.8,1490.2,0
2024-02-01 04:00:00,696.14,43.27,2.84,4562.6,0
2024-02-01 04:05:00,2978.72,34.46,4.98,2915.6,0
2024-02-01 04:10:00,679.99,64.11,4.98,2341.3,1
2024-02-01 04:15:00,2999.7,67.89,1.07,2153.2,0
2024-02-01 04:20:00,4746.48,56.54,2.16,1376.7,0
2024-02-01 04:25:00,1348.95,80.79,3.84,4815.2,0
2024-02-01 04:30:00,2279.18,37.91,0.65,1748.9,0
2024-02-01 04:35:00,1140.23,84.8,2.83,4069.5,0
2024-02-01 04:40:00,2972.79,74.07,0.34,120.1,0
2024-02-01 04:45:00,3887.68,49.65,2.72,3409.2,0
2024-02-01 04:50:00,1666.05,63.08,3.95,1690.6,0
2024-02-01 04:55:00,3153.81,51.44,1.74,3841.6,0
2024-02-01 05:00:00,2471.81,85.42,0.51,1199.2,0
2024-02-01 05:05:00,2749.72,32.18,0.81,2390.2,0
2024-02-01 05:10:00,2407.89,59.97,4.72,2375.5,0
2024-02-01 05:15:00,3790.22,71.12,4.74,3678.6,1
2024-02-01 05:20:00,1396.25,63.29,1.75,2624.6,0
2024-02-01 05:25:00,4900.92,65.07,4.13,1600.2,0
2024-02-01 05:30:00,1883.28,87.77,4.56,4186.7,1
2024-02-01 05:35:00,968.42,40.73,3.09,4601.4,0
2024-02-01 05:40:00,4031.01,73.73,2.61,579.8,0
2024-02-01 05:45:00,1609.03,72.76,4.0,114.8,0
2024-02-01 05:50:00,2233.06,56.18,1.54,1770.4,0
2024-02-01 05:55:00,1550.25,42.01,1.18,446.9,0
2024-02-01 06:00:00,2125.24,65.75,0.23,1435.3,0
2024-02-01 06:05:00,692.06,53.29,0.51,1103.6,0
2024-02-01 06:10:00,3439.25,32.21,4.48,1073.7,0
